315  [main] DEBUG o.s.b.d.settings.DevToolsSettings - Included patterns for restart : []
699  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Resolved location pattern [classpath*:com/wilson/feelings/**/*.class] to resources [file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/DTO/PersonDTO.class], file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/DTO/ServerToClientDTO.class], file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/FeelingsApplication.class], file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/Service/PersonService.class], file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/annotations/LogExecutionTime.class], file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/aspect/AppLogger.class], file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/config/AppConfig.class], file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/entities/Feeling.class], file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/entities/Person.class], file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/entities/exception/FeelingException.class], file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/filters/GenericFilter.class], file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/repositories/PersonRepository.class], file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/restEndPoints/PersonFeelingsEndPoint.class], file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/restEndPoints/exception/PersonNotFoundException.class]]
717  [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/Service/PersonService.class]
720  [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/aspect/AppLogger.class]
720  [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/config/AppConfig.class]
722  [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/filters/GenericFilter.class]
730  [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/restEndPoints/PersonFeelingsEndPoint.class]
744  [restartedMain] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Could not find key 'spring.boot.enableautoconfiguration' in any property source
756  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
798  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
804  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
818  [restartedMain] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Could not find key 'spring.messages.basename' in any property source
818  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Resolved classpath location [messages.properties] to resources []
819  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
823  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
824  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
825  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
826  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
827  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
827  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
830  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
830  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
832  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
836  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
836  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
845  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
847  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
